age,workclass,education-num,occupation,hours-per-week,salary
18,Private,7,Handlers-cleaners,16,<=50K
66,Local-gov,11,Prof-specialty,20,<=50K
27,Private,9,Other-service,40,<=50K
28,State-gov,9,Protective-serv,40,<=50K
51,Private,10,Sales,40,>50K
27,Private,13,Craft-repair,50,<=50K
28,State-gov,13,Prof-specialty,40,>50K
27,Private,9,Sales,25,<=50K
21,Private,9,Craft-repair,40,<=50K
34,Private,9,Handlers-cleaners,40,<=50K
18,Private,9,Other-service,12,<=50K
33,Private,13,Prof-specialty,65,<=50K
44,Local-gov,10,Exec-managerial,38,>50K
43,Private,10,Adm-clerical,40,<=50K
30,Private,10,Craft-repair,45,<=50K
40,Private,4,Machine-op-inspct,40,>50K
37,Federal-gov,10,Adm-clerical,42,>50K
34,Private,9,Adm-clerical,40,<=50K
31,Private,14,Prof-specialty,50,<=50K
58,State-gov,16,Prof-specialty,1,>50K
38,Private,10,Machine-op-inspct,28,<=50K
24,Private,10,Machine-op-inspct,40,<=50K
41,Local-gov,13,Craft-repair,40,<=50K
47,Private,10,Tech-support,45,<=50K
41,Federal-gov,13,Tech-support,24,<=50K
23,Private,3,Transport-moving,40,<=50K
36,Private,10,Craft-repair,40,<=50K
40,Federal-gov,14,Exec-managerial,55,>50K
35,Private,14,Prof-specialty,40,>50K
26,Private,14,Prof-specialty,40,<=50K
51,Private,13,Exec-managerial,50,>50K
42,Local-gov,10,Prof-specialty,40,<=50K
37,State-gov,9,Adm-clerical,35,<=50K
18,Private,7,Sales,40,<=50K
36,Private,13,Other-service,36,>50K
35,Private,9,Craft-repair,60,<=50K
17,Private,7,Sales,12,<=50K
44,Local-gov,9,Transport-moving,40,<=50K
37,Private,9,Craft-repair,40,>50K
35,Private,10,Sales,40,<=50K
60,Private,9,Craft-repair,40,<=50K
37,Private,13,Exec-managerial,60,>50K
50,Private,12,Sales,40,<=50K
38,Private,13,Sales,50,<=50K
45,Private,13,Prof-specialty,55,<=50K
25,Private,6,Craft-repair,40,<=50K
31,Private,10,Handlers-cleaners,40,<=50K
90,Private,9,Other-service,40,<=50K
54,Private,9,Adm-clerical,20,<=50K
53,Local-gov,1,Machine-op-inspct,35,<=50K
18,Private,9,Sales,40,<=50K
75,Private,11,Adm-clerical,20,<=50K
65,Private,9,Adm-clerical,40,<=50K
35,Private,7,Transport-moving,40,<=50K
41,Private,9,Sales,38,<=50K
25,Private,10,Adm-clerical,42,<=50K
33,Private,10,Craft-repair,40,<=50K
28,Private,15,Prof-specialty,55,>50K
59,State-gov,9,Other-service,40,<=50K
40,State-gov,10,Adm-clerical,38,<=50K
41,Private,13,Exec-managerial,50,>50K
38,Local-gov,14,Exec-managerial,70,>50K
23,Private,9,Transport-moving,40,<=50K
40,Private,13,Prof-specialty,40,>50K
24,State-gov,12,Protective-serv,50,<=50K
38,Private,10,Craft-repair,40,<=50K
56,Private,9,Adm-clerical,35,<=50K
58,Private,9,Adm-clerical,45,>50K
32,Private,9,Other-service,34,<=50K
40,Private,12,Tech-support,60,>50K
45,Private,9,Adm-clerical,40,<=50K
41,Private,15,Prof-specialty,40,>50K
42,Private,13,Adm-clerical,40,<=50K
59,Local-gov,6,Other-service,30,<=50K
19,Local-gov,10,Adm-clerical,40,<=50K
58,Private,10,Transport-moving,20,<=50K
20,Private,9,Other-service,40,<=50K
32,Private,9,Other-service,30,<=50K
45,Private,11,Exec-managerial,45,<=50K
50,Private,4,Craft-repair,40,<=50K
36,Private,13,Prof-specialty,40,<=50K
45,Private,9,Sales,60,<=50K
17,Private,7,Other-service,12,<=50K
59,Private,10,Sales,40,<=50K
26,Private,7,Craft-repair,40,<=50K
64,Private,9,Exec-managerial,40,>50K
33,Private,13,Prof-specialty,45,<=50K
33,Private,9,Craft-repair,40,>50K
61,Private,9,Exec-managerial,40,>50K
17,Private,5,Other-service,24,<=50K
27,Local-gov,14,Prof-specialty,35,<=50K
30,Private,9,Prof-specialty,40,<=50K
43,Private,9,Handlers-cleaners,40,<=50K
44,Private,10,Craft-repair,40,>50K
35,Private,10,Exec-managerial,40,<=50K
25,Private,10,Tech-support,40,<=50K
24,Private,10,Machine-op-inspct,48,>50K
22,Private,13,Prof-specialty,15,<=50K
42,Local-gov,10,Craft-repair,40,>50K
34,Private,12,Sales,45,<=50K
60,Private,13,Prof-specialty,42,<=50K
21,Private,9,Handlers-cleaners,40,<=50K
57,Federal-gov,14,Sales,40,>50K
41,Private,15,Prof-specialty,60,>50K
50,Private,10,Other-service,45,<=50K
25,Private,13,Exec-managerial,40,<=50K
50,Private,4,Craft-repair,40,<=50K
36,Private,13,Prof-specialty,45,<=50K
31,Private,9,Prof-specialty,40,<=50K
29,Local-gov,13,Protective-serv,56,<=50K
21,Private,10,Sales,45,<=50K
27,Private,13,Tech-support,40,<=50K
65,Private,9,Transport-moving,16,<=50K
24,Private,9,Craft-repair,40,<=50K
38,Private,9,Sales,80,<=50K
48,Private,13,Adm-clerical,40,>50K
21,Private,10,Other-service,25,<=50K
31,Private,9,Transport-moving,45,>50K
55,Private,9,Sales,40,>50K
24,Private,10,Adm-clerical,40,<=50K
43,Private,9,Adm-clerical,40,<=50K
26,Private,12,Tech-support,45,<=50K
46,Private,12,Prof-specialty,33,<=50K
35,Private,12,Adm-clerical,40,>50K
26,Private,13,Sales,40,<=50K
34,Private,14,Exec-managerial,35,>50K
22,Private,10,Sales,15,<=50K
24,Private,10,Machine-op-inspct,40,<=50K
22,Private,3,Machine-op-inspct,40,<=50K
29,Private,10,Tech-support,40,<=50K
62,Private,9,Other-service,24,<=50K
43,Private,10,Craft-repair,50,<=50K
35,Private,9,Transport-moving,45,<=50K
29,Private,7,Exec-managerial,40,<=50K
43,Private,10,Prof-specialty,50,>50K
66,Private,9,Transport-moving,55,<=50K
41,Private,10,Craft-repair,45,<=50K
26,Private,13,Adm-clerical,40,<=50K
47,Private,11,Other-service,40,<=50K
55,Local-gov,6,Adm-clerical,40,<=50K
53,Private,9,Transport-moving,40,<=50K
17,Private,3,Other-service,48,<=50K
30,Private,9,Craft-repair,40,<=50K
49,Private,14,Prof-specialty,60,<=50K
19,Private,9,Sales,30,<=50K
45,Private,9,Other-service,40,<=50K
26,Private,12,Sales,40,<=50K
38,Private,11,Craft-repair,40,>50K
36,State-gov,9,Protective-serv,40,>50K
33,Private,9,Farming-fishing,20,<=50K
22,State-gov,10,Protective-serv,40,<=50K
56,Private,12,Other-service,25,<=50K
31,Private,13,Prof-specialty,25,<=50K
33,Private,13,Exec-managerial,40,>50K
26,Private,9,Other-service,40,<=50K
33,Private,13,Exec-managerial,40,>50K
46,Local-gov,7,Transport-moving,30,<=50K
38,Federal-gov,9,Adm-clerical,40,>50K
65,Private,7,Other-service,40,<=50K
40,Private,11,Tech-support,40,>50K
42,Private,9,Adm-clerical,35,<=50K
36,Private,6,Other-service,24,<=50K
62,Private,14,Prof-specialty,40,>50K
43,Private,13,Transport-moving,45,<=50K
43,Private,13,Exec-managerial,45,>50K
22,Private,9,Sales,55,<=50K
28,Private,9,Craft-repair,40,<=50K
22,Private,12,Sales,15,<=50K
57,Private,13,Exec-managerial,45,>50K
39,Private,9,Sales,40,<=50K
26,Federal-gov,10,Adm-clerical,15,<=50K
17,Private,7,Other-service,10,<=50K
40,State-gov,11,Machine-op-inspct,38,>50K
45,Private,9,Machine-op-inspct,40,<=50K
44,Private,9,Craft-repair,40,<=50K
20,Local-gov,10,Adm-clerical,10,<=50K
33,Private,9,Craft-repair,40,<=50K
23,Private,10,Sales,40,<=50K
38,Private,9,Sales,50,<=50K
54,Private,9,Transport-moving,40,<=50K
46,Private,3,Craft-repair,45,<=50K
25,Private,10,Craft-repair,40,<=50K
46,Private,10,Sales,40,<=50K
36,Local-gov,10,Transport-moving,40,<=50K
23,Private,9,Other-service,25,<=50K
29,Private,9,Machine-op-inspct,40,<=50K
44,Private,10,Adm-clerical,6,>50K
19,Private,10,Adm-clerical,16,<=50K
19,Private,9,Other-service,40,<=50K
35,Private,9,Other-service,40,>50K
27,Private,13,Craft-repair,50,<=50K
34,State-gov,13,Exec-managerial,45,>50K
34,Private,9,Other-service,35,<=50K
44,Private,10,Tech-support,40,<=50K
45,Private,10,Handlers-cleaners,40,<=50K
25,Private,13,Exec-managerial,55,>50K
20,Private,10,Handlers-cleaners,40,<=50K
28,Private,10,Other-service,40,<=50K
50,State-gov,13,Protective-serv,40,>50K
34,Private,11,Tech-support,64,<=50K
28,Private,4,Handlers-cleaners,40,<=50K
41,Private,14,Exec-managerial,65,>50K
28,Private,9,Adm-clerical,40,<=50K
32,Private,10,Exec-managerial,50,<=50K
41,Local-gov,10,Other-service,24,<=50K
24,Private,9,Handlers-cleaners,40,<=50K
33,Private,10,Exec-managerial,40,<=50K
46,Private,16,Exec-managerial,60,>50K
31,State-gov,10,Machine-op-inspct,40,<=50K
35,Private,8,Craft-repair,50,>50K
52,Private,2,Machine-op-inspct,40,<=50K
30,Private,7,Other-service,19,<=50K
34,Local-gov,7,Machine-op-inspct,40,<=50K
34,State-gov,9,Transport-moving,40,<=50K
20,Private,10,Sales,30,<=50K
17,Private,7,Handlers-cleaners,18,<=50K
32,State-gov,13,Exec-managerial,40,>50K
29,Private,9,Farming-fishing,40,<=50K
33,Private,6,Craft-repair,35,<=50K
25,Private,9,Transport-moving,60,<=50K
36,Federal-gov,14,Prof-specialty,40,<=50K
23,Private,9,Handlers-cleaners,72,<=50K
47,Local-gov,14,Prof-specialty,40,<=50K
30,Private,12,Other-service,25,>50K
27,Private,10,Craft-repair,40,<=50K
33,Private,14,Prof-specialty,50,>50K
34,Local-gov,9,Farming-fishing,60,<=50K
34,Local-gov,10,Protective-serv,40,<=50K
23,Private,10,Adm-clerical,40,<=50K
42,Local-gov,10,Adm-clerical,40,<=50K
29,Private,13,Prof-specialty,40,<=50K
45,Private,9,Adm-clerical,28,<=50K
24,Federal-gov,9,Armed-Forces,40,<=50K
44,Private,10,Prof-specialty,40,>50K
27,Private,5,Craft-repair,40,<=50K
20,Private,10,Sales,35,<=50K
44,Private,9,Exec-managerial,40,<=50K
51,Private,9,Craft-repair,40,<=50K
20,Private,9,Machine-op-inspct,40,<=50K
19,Private,9,Machine-op-inspct,40,<=50K
60,Private,9,Craft-repair,40,>50K
42,Private,12,Exec-managerial,40,>50K
40,Private,11,Machine-op-inspct,40,>50K
30,Private,9,Exec-managerial,40,<=50K
38,Private,10,Transport-moving,50,<=50K
23,Private,9,Transport-moving,60,<=50K
44,Private,12,Farming-fishing,40,<=50K
54,Local-gov,9,Transport-moving,40,<=50K
32,Private,13,Prof-specialty,50,<=50K
50,Private,2,Craft-repair,40,<=50K
24,Private,13,Tech-support,20,<=50K
37,Private,9,Adm-clerical,60,<=50K
52,Private,9,Transport-moving,40,<=50K
38,Private,10,Transport-moving,40,<=50K
49,Private,14,Exec-managerial,45,>50K
30,Private,13,Tech-support,16,>50K
60,Private,10,Prof-specialty,40,>50K
35,Private,9,Craft-repair,40,<=50K
30,Private,9,Transport-moving,60,<=50K
67,Private,11,Other-service,24,<=50K
46,Private,13,Craft-repair,40,<=50K
17,Private,5,Other-service,6,<=50K
22,Private,10,Handlers-cleaners,30,<=50K
27,Private,6,Other-service,40,<=50K
23,Private,9,Other-service,35,<=50K
33,Private,12,Craft-repair,45,<=50K
28,State-gov,13,Prof-specialty,20,<=50K
41,Private,9,Craft-repair,40,<=50K
25,Private,10,Adm-clerical,20,<=50K
59,Local-gov,9,Transport-moving,45,<=50K
45,Local-gov,13,Prof-specialty,40,<=50K
38,Private,13,Sales,60,>50K
40,Private,9,Other-service,35,<=50K
46,Federal-gov,9,Adm-clerical,40,<=50K
35,Private,12,Exec-managerial,60,<=50K
34,Private,9,Prof-specialty,25,<=50K
33,Private,13,Craft-repair,20,<=50K
41,Private,9,Adm-clerical,36,<=50K
20,Private,10,Machine-op-inspct,40,<=50K
23,Private,3,Other-service,40,<=50K
26,Private,10,Prof-specialty,35,<=50K
23,Local-gov,9,Farming-fishing,40,<=50K
62,Local-gov,9,Transport-moving,40,<=50K
52,Private,10,Adm-clerical,40,<=50K
58,Private,10,Other-service,42,<=50K
25,Private,13,Sales,40,<=50K
24,Private,13,Exec-managerial,40,<=50K
19,Private,10,Protective-serv,8,<=50K
43,Private,10,Exec-managerial,40,<=50K
47,Local-gov,9,Adm-clerical,40,<=50K
39,Private,9,Other-service,40,<=50K
49,Private,11,Handlers-cleaners,42,<=50K
32,Private,11,Craft-repair,45,<=50K
34,Private,10,Prof-specialty,50,>50K
28,Private,9,Craft-repair,45,<=50K
25,Private,10,Adm-clerical,20,<=50K
34,Private,13,Prof-specialty,50,>50K
50,Private,9,Exec-managerial,50,>50K
24,Local-gov,10,Handlers-cleaners,50,<=50K
37,Local-gov,10,Tech-support,45,>50K
44,Private,10,Machine-op-inspct,58,>50K
28,Private,10,Sales,40,<=50K
42,Private,13,Exec-managerial,40,>50K
74,Private,10,Adm-clerical,9,<=50K
44,Private,7,Machine-op-inspct,46,<=50K
26,Private,9,Machine-op-inspct,40,<=50K
36,Private,9,Other-service,40,<=50K
41,Private,12,Exec-managerial,50,>50K
67,Private,15,Prof-specialty,48,>50K
39,Local-gov,8,Tech-support,50,<=50K
57,Private,2,Priv-house-serv,30,<=50K
29,Private,11,Craft-repair,40,<=50K
44,Private,10,Transport-moving,40,<=50K
29,Private,16,Prof-specialty,40,<=50K
30,Private,10,Handlers-cleaners,40,<=50K
27,Private,9,Transport-moving,40,<=50K
27,Private,10,Sales,50,<=50K
32,Private,9,Handlers-cleaners,45,<=50K
58,Private,6,Other-service,8,<=50K
35,Local-gov,10,Protective-serv,40,<=50K
21,Private,9,Handlers-cleaners,36,<=50K
28,Private,10,Craft-repair,40,<=50K
72,Private,7,Adm-clerical,40,<=50K
35,Private,9,Machine-op-inspct,40,<=50K
33,Federal-gov,11,Craft-repair,40,>50K
69,Private,7,Machine-op-inspct,40,<=50K
35,Private,9,Machine-op-inspct,40,<=50K
31,Private,9,Adm-clerical,20,<=50K
34,Private,9,Tech-support,32,<=50K
30,Private,7,Other-service,40,<=50K
28,Private,13,Transport-moving,55,<=50K
54,Private,13,Sales,35,>50K
47,Private,10,Prof-specialty,50,>50K
24,Private,9,Handlers-cleaners,40,<=50K
20,Private,9,Handlers-cleaners,48,<=50K
45,Private,4,Other-service,40,<=50K
47,Private,14,Exec-managerial,42,<=50K
24,Private,9,Craft-repair,40,<=50K
51,Private,9,Prof-specialty,40,<=50K
17,Private,7,Sales,12,<=50K
37,Private,11,Craft-repair,40,>50K
27,Private,16,Prof-specialty,70,<=50K
29,Private,13,Exec-managerial,40,>50K
58,Local-gov,13,Prof-specialty,40,<=50K
57,Private,9,Sales,40,>50K
59,Private,9,Craft-repair,40,<=50K
27,Private,9,Machine-op-inspct,40,<=50K
21,Private,10,Sales,24,<=50K
29,Private,10,Adm-clerical,60,<=50K
18,Private,7,Other-service,40,<=50K
52,Private,6,Craft-repair,47,>50K
60,Private,4,Transport-moving,48,>50K
31,Private,13,Prof-specialty,40,>50K
23,Private,13,Adm-clerical,40,<=50K
27,Private,9,Sales,40,<=50K
25,Private,10,Tech-support,40,<=50K
49,Private,13,Prof-specialty,45,<=50K
32,Private,13,Tech-support,40,<=50K
19,Private,10,Adm-clerical,28,<=50K
60,Private,4,Other-service,40,<=50K
42,Local-gov,5,Other-service,40,<=50K
48,Private,9,Adm-clerical,37,<=50K
51,Private,14,Craft-repair,40,>50K
29,Private,9,Craft-repair,40,<=50K
36,Local-gov,9,Exec-managerial,40,<=50K
17,Private,6,Other-service,21,<=50K
52,Private,14,Prof-specialty,60,<=50K
24,Private,9,Craft-repair,40,<=50K
24,Private,9,Handlers-cleaners,50,<=50K
26,Local-gov,13,Prof-specialty,40,<=50K
27,Private,13,Other-service,20,<=50K
39,Private,9,Handlers-cleaners,60,<=50K
30,Private,9,Transport-moving,45,<=50K
46,Private,15,Prof-specialty,45,>50K
23,Private,13,Sales,20,<=50K
45,Private,7,Other-service,20,<=50K
65,Private,5,Priv-house-serv,24,<=50K
29,Private,11,Transport-moving,55,<=50K
47,Private,5,Handlers-cleaners,40,<=50K
30,Private,9,Farming-fishing,60,<=50K
34,Private,9,Sales,45,>50K
33,Private,10,Exec-managerial,40,>50K
49,Private,13,Sales,26,>50K
49,Local-gov,6,Other-service,40,<=50K
43,Private,10,Craft-repair,60,>50K
30,Private,13,Adm-clerical,40,>50K
19,Private,9,Other-service,14,<=50K
21,Private,13,Handlers-cleaners,40,<=50K
33,Private,13,Exec-managerial,60,>50K
26,Private,9,Craft-repair,55,<=50K
60,Private,9,Craft-repair,40,<=50K
21,Private,10,Handlers-cleaners,40,<=50K
36,Private,10,Sales,50,>50K
31,Private,10,Craft-repair,45,<=50K
31,Local-gov,9,Adm-clerical,40,<=50K
71,Private,9,Craft-repair,15,<=50K
30,State-gov,13,Tech-support,40,>50K
20,Private,10,Other-service,20,<=50K
24,Private,9,Exec-managerial,50,<=50K
35,Private,16,Prof-specialty,40,>50K
38,State-gov,10,Exec-managerial,45,<=50K
27,Private,9,Machine-op-inspct,32,<=50K
29,State-gov,10,Adm-clerical,40,<=50K
34,Private,9,Craft-repair,45,<=50K
44,Private,4,Craft-repair,35,<=50K
43,Private,9,Machine-op-inspct,40,>50K
35,Private,14,Sales,60,<=50K
27,Private,10,Prof-specialty,40,<=50K
43,Local-gov,14,Prof-specialty,38,<=50K
20,Private,10,Sales,25,<=50K
42,Private,12,Prof-specialty,40,>50K
27,State-gov,10,Transport-moving,40,<=50K
42,Private,9,Craft-repair,40,>50K
24,Private,5,Machine-op-inspct,40,<=50K
48,Federal-gov,10,Exec-managerial,40,<=50K
33,Private,13,Exec-managerial,40,>50K
22,Private,9,Sales,40,<=50K
17,Private,8,Other-service,16,<=50K
32,Private,10,Adm-clerical,40,<=50K
31,Private,9,Craft-repair,45,<=50K
29,Local-gov,9,Protective-serv,48,<=50K
37,Private,11,Craft-repair,40,>50K
23,Local-gov,10,Exec-managerial,40,<=50K
18,State-gov,7,Adm-clerical,5,<=50K
34,Private,9,Exec-managerial,40,<=50K
45,Local-gov,13,Prof-specialty,55,<=50K
41,Private,14,Exec-managerial,35,<=50K
26,Private,9,Other-service,30,<=50K
54,Local-gov,10,Farming-fishing,40,<=50K
24,Private,10,Machine-op-inspct,45,<=50K
42,Private,10,Prof-specialty,50,<=50K
20,Private,10,Prof-specialty,20,<=50K
23,State-gov,13,Tech-support,20,<=50K
35,Private,14,Prof-specialty,60,>50K
31,Private,14,Tech-support,40,>50K
30,Private,13,Prof-specialty,40,<=50K
19,Private,9,Sales,20,<=50K
36,Local-gov,13,Prof-specialty,50,<=50K
31,Private,13,Sales,40,<=50K
21,Private,10,Handlers-cleaners,30,<=50K
46,Private,16,Prof-specialty,65,>50K
44,Private,13,Exec-managerial,50,>50K
40,Private,8,Other-service,40,<=50K
45,Private,10,Sales,40,<=50K
60,Private,9,Craft-repair,35,<=50K
18,Private,7,Other-service,25,<=50K
28,Private,13,Prof-specialty,40,<=50K
36,Private,10,Adm-clerical,40,<=50K
36,Private,13,Prof-specialty,40,<=50K
40,Private,11,Tech-support,40,<=50K
36,Local-gov,13,Adm-clerical,35,<=50K
31,Private,9,Other-service,40,<=50K
33,Private,9,Machine-op-inspct,40,<=50K
19,State-gov,9,Tech-support,40,<=50K
22,Private,10,Sales,15,<=50K
34,Private,13,Exec-managerial,45,>50K
33,Private,9,Other-service,40,<=50K
41,Private,9,Craft-repair,60,<=50K
29,Private,13,Prof-specialty,40,<=50K
50,Local-gov,9,Exec-managerial,42,>50K
42,Private,13,Exec-managerial,45,>50K
43,Private,13,Prof-specialty,40,>50K
44,Private,9,Sales,40,<=50K
20,Private,10,Other-service,20,<=50K
31,Private,9,Other-service,40,<=50K
23,Private,10,Other-service,24,<=50K
55,Private,10,Adm-clerical,40,<=50K
26,Private,11,Adm-clerical,45,<=50K
25,Private,11,Other-service,15,<=50K
35,Private,10,Craft-repair,40,<=50K
36,Private,10,Sales,36,<=50K
43,State-gov,13,Prof-specialty,50,<=50K
56,Private,9,Other-service,20,<=50K
42,Private,13,Tech-support,40,>50K
19,Private,10,Other-service,25,<=50K
42,Private,14,Exec-managerial,50,>50K
26,Private,11,Tech-support,40,<=50K
17,Private,8,Handlers-cleaners,20,<=50K
42,Local-gov,13,Prof-specialty,40,>50K
55,Private,9,Transport-moving,40,>50K
32,Private,10,Adm-clerical,40,<=50K
29,Private,7,Craft-repair,40,<=50K
46,State-gov,13,Prof-specialty,37,<=50K
29,State-gov,13,Exec-managerial,40,>50K
22,Private,13,Prof-specialty,20,<=50K
23,Private,9,Transport-moving,50,<=50K
39,Private,9,Handlers-cleaners,40,<=50K
27,Private,11,Craft-repair,38,<=50K
54,Private,9,Transport-moving,40,>50K
33,Local-gov,13,Prof-specialty,45,<=50K
46,Federal-gov,9,Adm-clerical,40,>50K
37,Private,9,Farming-fishing,40,<=50K
36,Private,9,Other-service,18,<=50K
59,Local-gov,9,Adm-clerical,38,>50K
34,Local-gov,9,Protective-serv,40,<=50K
51,Private,13,Sales,55,>50K
32,Private,6,Other-service,42,<=50K
31,State-gov,10,Other-service,40,<=50K
22,Private,10,Sales,30,<=50K
32,Private,9,Machine-op-inspct,40,<=50K
26,Private,10,Farming-fishing,38,<=50K
37,Private,3,Farming-fishing,32,<=50K
31,Private,9,Craft-repair,55,<=50K
37,Private,11,Tech-support,24,>50K
55,Private,9,Sales,38,<=50K
23,Local-gov,11,Tech-support,56,<=50K
36,Private,10,Adm-clerical,40,<=50K
34,Private,14,Prof-specialty,40,<=50K
43,Private,13,Sales,50,>50K
54,Private,10,Tech-support,40,<=50K
43,State-gov,10,Craft-repair,40,<=50K
28,Private,11,Machine-op-inspct,42,<=50K
40,Private,11,Exec-managerial,50,>50K
40,Private,13,Sales,55,>50K
